Time	CellId	RNTI	BWPId	SINR(dB)
1.101	2	1	0	40.8507
1.101	4	1	2	41.2644
1.10193	2	1	0	40.8507
1.10193	4	1	2	41.2644
1.105	2	1	0	40.8507
1.105	4	1	2	41.2644
1.106	2	1	0	40.8507
1.106	4	1	2	41.2644
1.10693	2	1	0	40.8507
1.10693	4	1	2	41.2644
1.11	2	1	0	40.8507
1.11	4	1	2	41.2644
1.111	2	1	0	40.8507
1.111	4	1	2	41.2644
1.11193	2	1	0	40.8507
1.11193	4	1	2	41.2644
1.115	2	1	0	40.8507
1.115	4	1	2	41.2644
1.116	2	1	0	40.8507
1.116	4	1	2	41.2644
1.11693	2	1	0	40.8507
1.11693	4	1	2	41.2644
1.12	2	1	0	40.8507
1.12	4	1	2	41.2644
1.121	2	1	0	40.8507
1.121	4	1	2	41.2644
1.12193	2	1	0	40.8507
1.12193	4	1	2	41.2644
1.125	2	1	0	40.8507
1.125	4	1	2	41.2644
1.126	2	1	0	40.8507
1.126	4	1	2	41.2644
1.12693	2	1	0	40.8507
1.12693	4	1	2	41.2644
1.13	2	1	0	40.8507
1.13	4	1	2	41.2644
1.131	2	1	0	40.8507
1.131	4	1	2	41.2644
1.13193	2	1	0	40.8507
1.13193	4	1	2	41.2644
1.135	2	1	0	40.8507
1.135	4	1	2	41.2644
1.136	2	1	0	40.8507
1.136	4	1	2	41.2644
1.13693	2	1	0	40.8507
1.13693	4	1	2	41.2644
1.14	2	1	0	40.8507
1.14	4	1	2	41.2644
1.141	2	1	0	40.8507
1.141	4	1	2	41.2644
1.14193	2	1	0	40.8507
1.14193	4	1	2	41.2644
1.145	2	1	0	40.8507
1.145	4	1	2	41.2644
1.146	2	1	0	40.8507
1.146	4	1	2	41.2644
1.14693	2	1	0	40.8507
1.14693	4	1	2	41.2644
1.15	2	1	0	40.8507
1.15	4	1	2	41.2644
1.151	2	1	0	40.8507
1.151	4	1	2	41.2644
1.15193	2	1	0	40.8507
1.15193	4	1	2	41.2644
1.155	2	1	0	40.8507
1.155	4	1	2	41.2644
1.156	2	1	0	40.8507
